observed_label,source,normalized_observed_label,canonical_tree_label,mapping_status,mapping_strategy,confidence_tier,lineage_path
adipocyte*,CXG,adipocyte,Adipocyte,mapped,exact_tree_alias,high,Epiblast → Primitive Streak → Mesoderm → Splanchnic Mesoderm → Proepicardial Organ → Epicardium → Epicardium Derived Cell → Adipocyte
advanced mesoderm,Tyser,advanced mesoderm,Mesoderm,mapped,manual_override,medium,Epiblast → Primitive Streak → Mesoderm
Annulus Fibrosus Fibroblast (AnnFibr_FB),Lázár,annulus fibrosus fibroblast,Fibroblast,mapped,manual_override,medium,Epiblast → Primitive Streak → Mesoderm → Cardiogenic Mesoderm → Mesenchymal and Stromal Lineage → Fibroblast
atria cardiomyocyte,Xu,atria cardiomyocyte,Regular Atrial Cardiac Myocyte,mapped,manual_override,medium,Epiblast → Primitive Streak → Mesoderm → Cardiogenic Mesoderm → Cardiomyocyte Lineage → Cardiac Muscle Cell → Regular Atrial Cardiac Myocyte
atrioventricular canal,Xu,atrioventricular canal,AV Canal Endocardial Cells,mapped,manual_override,medium,Epiblast → Primitive Streak → Mesoderm → Cardiogenic Mesoderm → Endothelial / Endocardial Lineage → Endocardial Cell → AV Canal Endocardial Cells
axial mesoderm,Tyser,axial mesoderm,Mesoderm,mapped,manual_override,medium,Epiblast → Primitive Streak → Mesoderm
capillary endothelial cell*,CXG,capillary endothelial cell,Capillary Endothelial Cell,mapped,exact_tree_alias,high,Epiblast → Primitive Streak → Mesoderm → Splanchnic Mesoderm → Vascular Endothelial Cell → Capillary Endothelial Cell
cardiac mesenchymal cell*,CXG,cardiac mesenchymal cell,Cardiac Mesenchymal Cell,mapped,exact_tree_alias,high,Epiblast → Primitive Streak → Mesoderm → Cardiogenic Mesoderm → Mesenchymal and Stromal Lineage → Cardiac Mesenchymal Cell
cardiac muscle cell*,CXG,cardiac muscle cell,Cardiac Muscle Cell,mapped,exact_tree_alias,high,Epiblast → Primitive Streak → Mesoderm → Cardiogenic Mesoderm → Cardiomyocyte Lineage → Cardiac Muscle Cell
cardiomyocyte,Xu,cardiomyocyte,Cardiac Muscle Cell,mapped,manual_override,medium,Epiblast → Primitive Streak → Mesoderm → Cardiogenic Mesoderm → Cardiomyocyte Lineage → Cardiac Muscle Cell
cell of skeletal muscle,CXG,cell of skeletal muscle,UNMAPPED,unmapped,unmapped,none,
cord blood hematopoietic stem cell,CXG,cord blood hematopoietic stem cell,Hematopoietic Cell,mapped,manual_override,medium,Epiblast → Primitive Streak → Mesoderm → Hematopoietic Mesoderm → Hematopoietic Cell
Coronary Artery Smooth Muscle Cell (CA_SMC),Lázár,coronary artery smooth muscle cell,Vascular Smooth Muscle Cell,mapped,manual_override,medium,Epiblast → Primitive Streak → Mesoderm → Splanchnic Mesoderm → Proepicardial Organ → Epicardium → Epicardium Derived Cell → Vascular Smooth Muscle Cell
